seed,src,via,dst,direct,leg1,leg2,chained,advantage,dominates
0,compressed_h2,wind_h8,damped_h8,6.373799346742176,0.0,2.0036258612360274,2.0036258612360274,0.6856465426292191,True
0,compressed_h2,blur_h8,damped_h8,6.373799346742176,0.0,3.5367143750190726,3.5367143750190726,0.44511676903873915,True
0,blur_h8,normal_h8,damped_h8,4.1461067064887,0.5502416775340125,1.9510655914034163,2.501307268937429,0.39670938400527483,True
0,blur_h8,normal_h16,damped_h8,4.1461067064887,0.5464312292280651,1.9452837776570095,2.491715006885075,0.3990229429007423,True
0,blur_h8,compressed_h2,damped_h8,4.1461067064887,0.5532731016476949,1.9431243325982774,2.4963974342459725,0.3978935876543928,True
0,blur_h8,wind_h8,damped_h8,4.1461067064887,0.4969639040174938,2.957029002762976,3.4539929067804698,0.1669310147336693,True
0,blur_h8,velocity_aux_h8,damped_h8,4.1461067064887,0.5631417121206012,1.9631976456869218,2.526339357807523,0.390671891330299,True
0,damped_h8,wind_h8,compressed_h2,3.1193502488590417,1.8483534185659314,0.29401012829371853,2.14236354685965,0.31320198889391854,True
0,damped_h8,blur_h8,compressed_h2,3.1193502488590417,1.369226095222292,0.0314319871720814,1.4006580823943735,0.5509776169230469,True
0,damped_h8,wind_h8,normal_h8,3.102944828215099,1.8539376244658516,0.295729651337578,2.14966727580343,0.3072170487027387,True
0,damped_h8,blur_h8,normal_h8,3.102944828215099,1.3931818079380767,0.04812134447551908,1.4413031524135957,0.5355047439748796,True
0,damped_h8,wind_h8,normal_h16,3.0975794394810987,1.831557110661552,0.29854401520320356,2.1301011258647558,0.31233365681766445,True
0,damped_h8,blur_h8,normal_h16,3.0975794394810987,1.3651667648837684,0.033717354138692174,1.3988841190224606,0.5483944330232257,True
0,damped_h8,wind_h8,velocity_aux_h8,3.089502341690517,1.855084131161372,0.2976767136937096,2.1527608448550817,0.3032014199163443,True
0,damped_h8,blur_h8,velocity_aux_h8,3.089502341690517,1.3608141413756785,0.03049360854285102,1.3913077499185296,0.5496660639663952,True
