seed,source,intermediate,dest,leg2,is_null,pathlen
4,normal,normal,wind,0.0,True,0.028386671096086502
4,normal,normal,damped,1.6109762386906714,True,0.04887281730771065
4,normal,normal,blur,0.0,True,0.03306804969906807
4,normal,wind,wind,0.0,False,0.028386671096086502
4,normal,wind,damped,1.9288687435170966,False,0.08737209811806679
4,normal,wind,blur,0.3434823798754859,False,0.07889467105269432
4,normal,damped,wind,0.4996367853785319,False,0.10785824432969093
4,normal,damped,damped,0.0,False,0.04887281730771065
4,normal,damped,blur,0.8570579759894854,False,0.1180744580924511
4,normal,blur,wind,0.3746416748516143,False,0.08357604965567589
4,normal,blur,damped,2.136500799998877,False,0.10226969048380852
4,normal,blur,blur,0.0,False,0.03306804969906807
4,wind,normal,normal,0.0,False,0.028386671096086502
4,wind,normal,damped,1.831380407725062,False,0.07725948840379715
4,wind,normal,blur,0.07163654953714405,False,0.06145472079515457
4,wind,wind,normal,0.8971587313073024,True,0.028386671096086502
4,wind,wind,damped,3.5851819879478883,True,0.058985427021980286
4,wind,wind,blur,0.7087337554447235,True,0.05050799995660782
4,wind,damped,normal,2.2682731563136698,False,0.10785824432969093
4,wind,damped,damped,0.0,False,0.058985427021980286
4,wind,damped,blur,1.9797666595568735,False,0.12818706780672073
4,wind,blur,normal,0.8853026103405728,False,0.08357604965567589
4,wind,blur,damped,3.542494489914842,False,0.11970964074134827
4,wind,blur,blur,0.0,False,0.05050799995660782
4,damped,normal,normal,0.04894038821969725,False,0.04887281730771065
4,damped,normal,wind,0.14764290811523556,False,0.07725948840379715
4,damped,normal,blur,0.24441244062923237,False,0.08194086700677872
4,damped,wind,normal,1.5096439811445423,False,0.08737209811806679
4,damped,wind,wind,0.0,False,0.058985427021980286
4,damped,wind,blur,0.5749243038987356,False,0.1094934269785881
4,damped,damped,normal,6.738579601049426,True,0.04887281730771065
4,damped,damped,wind,2.9837531944115954,True,0.058985427021980286
4,damped,damped,blur,4.412454051157784,True,0.06920164078474045
4,damped,blur,normal,1.2249915670780913,False,0.10226969048380852
4,damped,blur,wind,0.2131399701512049,False,0.11970964074134827
4,damped,blur,blur,0.0,False,0.06920164078474045
4,blur,normal,normal,0.0,False,0.03306804969906807
4,blur,normal,wind,0.0,False,0.06145472079515457
4,blur,normal,damped,1.312378618452284,False,0.08194086700677872
4,blur,wind,normal,0.08696005457923525,False,0.07889467105269432
4,blur,wind,wind,0.0,False,0.05050799995660782
4,blur,wind,damped,1.6715680872873655,False,0.1094934269785881
4,blur,damped,normal,0.9381988701366244,False,0.1180744580924511
4,blur,damped,wind,0.47722657379649924,False,0.12818706780672073
4,blur,damped,damped,0.0,False,0.06920164078474045
4,blur,blur,normal,0.7097055848155702,True,0.03306804969906807
4,blur,blur,wind,0.876768980707441,True,0.05050799995660782
4,blur,blur,damped,3.7344185278292685,True,0.06920164078474045
